监控,#genre#
摄像头1,rtsp://spjk:spjk1234@192.168.1.106:554/h265/ch1/main/av_stream
摄像头2,rtsp://spjk:spjk1234@192.168.1.106:554/MPEG-4/ch2/main/av_stream
收藏,#genre#
CCTV13HD,http://111.12.102.68:6610/PLTV/77777777/224/3221225742/index.m3u8?#http://39.135.138.58:18890/PLTV/88888910/224/3221225638/index.m3u8
山东卫视,http://livealone302.iqilu.com/iqilu/sdtv.m3u8
齐鲁频道,http://livealone302.iqilu.com/iqilu/qlpd.m3u8
体育频道,http://livealone302.iqilu.com/iqilu/typd.m3u8
生活频道,http://livealone302.iqilu.com/iqilu/shpd.m3u8
综艺频道,http://livealone302.iqilu.com/iqilu/zypd.m3u8
新闻频道,http://livealone302.iqilu.com/iqilu/ggpd.m3u8
农科频道,http://livealone302.iqilu.com/iqilu/nkpd.m3u8
文旅频道,http://livealone302.iqilu.com/iqilu/yspd.m3u8
少儿频道,http://livealone302.iqilu.com/iqilu/sepd.m3u8
九画面,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226664/index.m3u8
九画面2,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/322122686/index.m3u8
泰安综合,http://39.134.144.6:8089/PLTV/88888888/224/3221225720/index.m3u8#http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000269/index.m3u8
泰安公共,http://39.134.144.6:8089/PLTV/88888888/224/3221225990/index.m3u8#http://39.137.76.32:8089/00/SNM/CHANNEL00000270/index.m3u8#http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000270/index.m3u8
泰安科教,rtmp://124.130.146.172/livepkgr/tatv333?adbe-live-event=liveevent
岱岳综合,http://jsylivealone302.iqilu.com/daiyue/daiyue_tv01.m3u8#http://livealone302.iqilu.com/daiyue/daiyue_tv01.m3u8#http://slvedio.slradio.cn/a935908a217711ea8bb000163e0e6522/4D6357B92240C088F3612E43E44B5F1D.m3u8
肥城综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226091/index.m3u8#http://jsylivealone302.iqilu.com/feicheng/feicheng_tv01.m3u8#http://livealone302.iqilu.com/feicheng/feicheng_tv01.m3u8
肥城生活,http://jsylivealone302.iqilu.com/feicheng/feicheng_tv02.m3u8#http://livealone302.iqilu.com/feicheng/feicheng_tv02.m3u8
宁阳综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226244/index.m3u8#http://jsylivealone302.iqilu.com/live/ningyang_tv01.m3u8#http://livealone302.iqilu.com/live/ningyang_tv01.m3u8
宁阳二套,http://jsylivealone302.iqilu.com/live/ningyang_tv02.m3u8#http://livealone302.iqilu.com/live/ningyang_tv02.m3u8#http://39.134.144.6:8089/PLTV/88888888/224/3221226315/index.m3u8
东平综合,http://39.134.144.6:8089/PLTV/88888888/224/3221225864/index.m3u8
新泰综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226011/index.m3u8#http://jsylivealone302.iqilu.com/xintai/xintai_tv01.m3u8#http://livealone302.iqilu.com/xintai/xintai_tv01.m3u8#http://live.xtgdw.cn:1935/live/xtzh/chunklist_w220721518.m3u8
新泰乡村党建,http://jsylivealone302.iqilu.com/xintai/xintai_tv02.m3u8#http://livealone302.iqilu.com/xintai/xintai_tv02.m3u8#http://live.xtgdw.cn:1935/live/xtxc/chunklist_w49088654.m3u8
新泰生活,http://live.xtgdw.cn:1935/live/xtsh/playlist.m3u8
新泰影视,http://live.xtgdw.cn:1935/live/xtys/playlist.m3u8
新矿新闻综合,http://39.134.144.6:8089/PLTV/88888888/224/3221225875/index.m3u8
济铁电视台,http://jsylivealone302.iqilu.com/jitie/jitie_tv01.m3u8#http://livealone302.iqilu.com/jitie/jitie_tv01.m3u8
1044都市音乐之声,http://playing.cbct.cn/live/36353_swqe9n.m3u8
纯享4K,http://111.12.102.68:6610/PLTV/77777777/224/3221225726/index.m3u8?
山东地方1,#genre#
济宁教育频道,http://lives.jnnews.tv/video/s10001-JTV2/index.m3u8
济宁公共频道,http://lives.jnnews.tv/video/s10001-JTV3/index.m3u8
济宁图文频道,http://lives.jnnews.tv/video/s10001-JTV4/index.m3u8
枣庄新闻综合,http://stream.zzgd.tv/1/sd/live.m3u8
枣庄教育频道,http://stream.zzgd.tv/2/sd/live.m3u8
枣庄公共频道,http://stream.zzgd.tv/3/sd/live.m3u8
德州新闻道,http://video.dztv.tv:1935/live/xwzh_gq/playlist.m3u8#http://video.dztv.tv:1935/live/xwzh_bq/playlist.m3u8#http://video.dztv.tv:1935/live/xwzh_sj/playlist.m3u8
